,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3243,3243,0.998,0.002,Jeremiah Oden,Wyoming,MWC,23,31.2,98.4,48.42,5.9,12.8,2.6,0.857,0.397475,93.7104
3244,3244,1.0,0.0,John Treanor,Mercer,SC,4,1.0,54.0,25.0,15.1,23.4,0.0,0.0,-0.31152,52.6102
3245,3245,1.0,0.0,Peyton Urbancic,Tulsa,Amer,4,1.4,0.0,0.0,0.0,41.1,0.0,0.0,-0.903725,-1.55737
3246,3246,1.0,0.0,D'Maurian Williams,Gardner Webb,BSth,26,60.1,103.2,54.58,17.8,16.6,0.4,0.683,1.71022,105.759
3247,3247,1.0,0.0,"Colin Golson, Jr.",Eastern Michigan,MAC,13,36.5,96.8,57.49,2.4,22.0,0.0,0.444,0.143687,87.4264
3248,3248,0.998,0.002,Jamaine Mann,Vanderbilt,SEC,26,52.1,106.7,54.51,6.9,15.9,2.7,0.554,1.27789,102.922
3249,3249,1.0,0.0,Phillip Russell,Southeast Missouri St.,OVC,8,8.0,77.9,38.72,22.1,31.1,0.0,1.0,-0.190181,78.7116
3250,3250,1.0,0.0,Trey Hall,Evansville,MVC,19,17.8,79.6,41.63,4.5,16.5,0.6,0.571,-0.173587,79.9009
3251,3251,0.978,0.022,Marques Warrick,Northern Kentucky,Horz,25,79.9,115.4,56.21,12.1,12.7,0.8,0.817,3.35376,115.496
3252,3252,1.0,0.0,Luke House,Drexel,CAA,8,6.3,129.6,66.79,11.5,8.7,0.0,0.0,0.663825,115.864
3253,3253,1.0,0.0,D'Marcus Hall,Louisiana Monroe,SB,17,10.8,70.8,37.99,3.5,25.1,1.0,0.667,-0.391695,68.1489
3254,3254,1.0,0.0,Darrick Jones Jr.,Towson,CAA,9,6.6,70.5,39.56,3.9,25.5,0.0,0.6,-0.37228,64.581
3255,3255,0.986,0.014,Matt Zona,Notre Dame,ACC,14,7.4,94.1,28.45,8.8,0.0,3.8,0.5,0.200368,95.7545
3256,3256,1.0,0.0,Justin Gibson,Louisiana Monroe,SB,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.32072,-7.17082
3257,3257,1.0,0.0,Emmette Page,Evansville,MVC,2,1.6,15.2,6.73,0.0,0.0,0.0,0.333,-1.74314,14.6135
3258,3258,1.0,0.0,Trey Robinson,Northern Kentucky,Horz,24,36.6,94.9,50.08,9.1,22.1,1.8,0.646,0.419388,93.1964
3259,3259,1.0,0.0,Nicholas Bassett,Colorado St.,MWC,4,0.4,148.5,83.33,0.0,0.0,0.0,0.0,0.248012,156.729
3260,3260,0.996,0.004,Jordan Sears,Gardner Webb,BSth,26,54.3,108.8,59.09,19.7,19.0,0.9,0.851,1.83438,109.583
3261,3261,0.998,0.002,Garrett Hien,Furman,SC,22,32.7,105.0,60.93,11.6,24.8,0.4,0.481,0.55594,97.5212
3262,3262,1.0,0.0,Lou Demuth,Chicago St.,WAC,5,20.3,79.0,45.93,7.3,19.4,1.4,1.0,-0.364727,78.0565
3263,3263,0.998,0.002,Coleman Stucke,Northeastern,CAA,19,55.2,94.0,49.92,7.1,12.6,1.2,0.615,0.139528,87.0781
3264,3264,1.0,0.0,Freddie Dybala,Cal Baptist,WAC,9,2.6,71.5,25.0,0.0,0.0,0.0,0.0,-0.2097,58.0612
3265,3265,1.0,0.0,Jaelen McGlone,Rider,MAAC,15,12.9,86.7,47.84,14.1,23.2,1.0,0.5,0.157555,90.9791
3266,3266,1.0,0.0,Jaron Williams,Robert Morris,Horz,23,66.8,94.8,56.42,11.7,24.9,1.2,0.714,0.735088,93.187
3267,3267,1.0,0.0,Drew Thelwell,Morehead St.,OVC,14,4.6,52.1,29.68,6.8,33.0,0.0,0.0,-0.481444,48.6426
3268,3268,1.0,0.0,Tekorian Smith,Troy,SB,2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.768835,-3.37075
3269,3269,1.0,0.0,Alex Kotov,Illinois St.,MVC,11,8.4,47.0,8.37,10.0,38.2,1.4,0.0,-1.08067,43.4783
